stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
622,31-03-2015,Kerala,Wayanad,Kerala State Pollution Control Board,Sensitive Area,2,5,59,"Sulthan Bathery, Wayanad",3,1
622,30-10-2015,Kerala,Wayanad,Kerala State Pollution Control Board,Sensitive Area,2,5,30,"Sulthan Bathery, Wayanad",3,1
623,30-09-2015,Kerala,Malappuram,Kerala State Pollution Control Board,Industrial Area,2,13,40,"Kakkanchery, near KINFRA, Malappuram",3,1
623,30-10-2015,Kerala,Malappuram,Kerala State Pollution Control Board,Industrial Area,2,14,50,"Kakkanchery, near KINFRA, Malappuram",3,1
624,30-10-2015,Kerala,Thissur,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,2,27,"KSPCB, District Office, Poonkunnam, Thrissur",3,1
82,31-08-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,Industrial Area,28,19,56,"Chemical Division Labour Club, Nagda",40,0
82,30-11-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,Industrial Area,31,18,56,"Chemical Division Labour Club, Nagda",44,0
82,31-12-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,Industrial Area,31,20,62,"Chemical Division Labour Club, Nagda",44,0
84,31-01-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",16,27,66,"B C I Labour Club, Nagda",23,1
84,30-09-2015,Madhya Pradesh,Nagda,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",23,29,58,"B C I Labour Club, Nagda",33,1
122,31-03-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,6,303,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",3,1
122,30-04-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,6,303,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",3,1
122,30-06-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,10,113,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",3,1
122,31-12-2015,Madhya Pradesh,Bhopal,Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2,14,130,"Hamidia Road, M.P. Hastshilp Vikas Nigam, Bhopal",3,1
